username,accepted,made_by_csqrb,opinion,comment
Ар.... АааАААааа...,FALSE,FALSE,😡,Б
Кортз,FALSE,FALSE,😐,
Картыз,FALSE,FALSE,😡,
Хлебушек,FALSE,FALSE,😡,учитель истории когда увидел мою (старую) аватарку в телеграмме:
Слизняк,FALSE,FALSE,😡,
catnippinn (силли),FALSE,TRUE,😀,"ник на сервере по баротравме (никак не отражает меня, является производным от чужого ника)"
CSQUSB,FALSE,FALSE,😡,
Джон Санаби,FALSE,FALSE,😐,важно дойти до конца
Гротеск,FALSE,FALSE,😡,
Иля,FALSE,FALSE,😐,писать научись
Сыр борода,TRUE,FALSE,😐,
Сер борода,TRUE,FALSE,😐,
CSQRD,FALSE,FALSE,😐,
Кстатий,FALSE,TRUE,😀,
Внатурий,FALSE,TRUE,😀,
Колбасер,FALSE,TRUE,😀,
Чсв,FALSE,TRUE,😐,
хаха я в опасности,FALSE,TRUE,😐,
КАЭЕС,TRUE,FALSE,😀,
каэскьюэрбэ,TRUE,FALSE,😀,
Развал Сырков,FALSE,FALSE,😀,полочка:
Сырокrb,FALSE,FALSE,😐,
Csqrок,FALSE,FALSE,😐,
csqrоцк,FALSE,FALSE,😐,еее рок
Сырок Развалов,FALSE,FALSE,😀,
Илья Квадратная Борода,FALSE,FALSE,😐,
Гудини Сырков,FALSE,FALSE,😀,
Куб,FALSE,FALSE,😐,
Киска,FALSE,FALSE,😾,я не кот
КС (сурс) qrb,FALSE,FALSE,😐,████████████████ ERROR
Creator,FALSE,FALSE,😀,типо в мод Create играет
картечсь,FALSE,FALSE,😡,
кортез ксс ксс ксс,FALSE,FALSE,😾,я не кот
ксс ксс кьюрби,FALSE,FALSE,😾,я не кот
кропрзт,FALSE,FALSE,😐,
козтапз,FALSE,FALSE,😐,
кортоез,FALSE,FALSE,😡,невкусно
котпрткезщ,FALSE,FALSE,😡,"я понимаю, что ник похож на белиберду, но наглеть не надо"
кеко,FALSE,FALSE,😾,"не помню что имеется ввиду, но на всякий случай - я не кот"
кыскырб,FALSE,FALSE,😐,
Cartesian Duelists,FALSE,FALSE,😡,без артикуля не знаю о чём речь
The Cartesian Duelists,FALSE,FALSE,😡,группа в киберпанке
Картош,FALSE,FALSE,😡,
Некортез,FALSE,FALSE,😾,я не неко
Картоз,FALSE,FALSE,😐,
cscscsqrb,FALSE,FALSE,😾,на всякий случай - я не кот
Страйдерс,FALSE,FALSE,😀,"Yeah, OK, Striders , I guess you could consider that an event."
Вкрб,FALSE,FALSE,😡,
кукурб,FALSE,FALSE,😡,
сквурбчик,FALSE,FALSE,😡,
csqrbcat,FALSE,FALSE,😾,я не кот
коробка передач,FALSE,FALSE,😡,крафт: 4 шестерни и 1 андезитовый корпус
meow,FALSE,FALSE,😾,я не кот
коробок спичек,FALSE,FALSE,😡,
коробочка с иголками,FALSE,FALSE,😡,
сыр,FALSE,FALSE,😡,
сырочек,FALSE,FALSE,😡,
Осас,FALSE,FALSE,😐,Uvuvwevwevwe Onyetenyevwe Ugwemubwem Ossas
rhytq,FALSE,FALSE,😡,"vfkj njuj xnj hfcrkflre gthtgenfk, nfr to` b ytghfdbkmyj yfgbcfk"
Рврщ,FALSE,FALSE,😐,это чужой никнейм
папа,FALSE,FALSE,😡,не надо
мама,FALSE,FALSE,😡,даже невозможно
Кортезочик,FALSE,FALSE,😐,
Скибиди Кортез Кортез,FALSE,FALSE,😡,
Кортезище,FALSE,FALSE,😐,
Кортез Кортезов,FALSE,FALSE,😐,
кускурб,FALSE,FALSE,😐,
Чувак,FALSE,FALSE,😀,ЧУВААААК
Кортещ,FALSE,FALSE,😐,
краб,FALSE,FALSE,😐,
крiб,FALSE,FALSE,😐,
Кар.......тез,FALSE,FALSE,😡,не каркай
Бишкек,FALSE,FALSE,😡,Бишкек
Восклицательный знак,FALSE,FALSE,😡,"хорошо, макс и аедк и влоконг"
КаЭс... 1.6 КуРби,FALSE,FALSE,😐,
Кот инопришленец,FALSE,FALSE,😾,я не кот
сскрб,FALSE,FALSE,😐,
catrb,FALSE,FALSE,😾,
cptsqrb,FALSE,FALSE,😀,
captain,FALSE,FALSE,😾,
гарпун,FALSE,FALSE,😡,"223 ДНЕЙ ПРОШЛО, ОН НАШЁЛ ГАРПУН?"
Скепопе,FALSE,FALSE,😡,никогда не читайте свои старые сообщения
!,FALSE,FALSE,😡,
мистер санаби,FALSE,FALSE,😀,
кофтез,FALSE,FALSE,😐,мерч?
ыыы ааа кьюскьюрби,FALSE,FALSE,😐,
catqrb,FALSE,FALSE,😾,я не кот
Цскнб,FALSE,FALSE,😐,
Кукумбер,FALSE,FALSE,😡,
Цскрб,FALSE,FALSE,😐,
Джон Гифка,FALSE,FALSE,😀,https://tenor.com/users/csqrb
ЕКОТРКОТЗЕР,FALSE,FALSE,😾,С ДНЁМ РОЖДЕНИЕЯ ЕКОТРКОТЗЕР 
ухортез,FALSE,FALSE,😡,🍌this will help
КаЭсКьюЭрБи,FALSE,FALSE,😐,клоун ящер
контр страйк qrb,FALSE,FALSE,😡,
ЦэЭсКьюЭрБэ,FALSE,FALSE,😐,
кээскьюэрбэ,FALSE,FALSE,😐,
Скрб,FALSE,FALSE,😐,
Кьюрб,FALSE,FALSE,😐,
кирищек,FALSE,FALSE,😡,
кико,FALSE,FALSE,😾,я не кико!!!
᲼᲼᲼᲼᲼᲼,FALSE,TRUE,😀,дюран дюран невидимый
Гатез,FALSE,TRUE,😡,Gate 3
Контуз,FALSE,FALSE,😡,сам ты контуз
∠CSQ,FALSE,TRUE,😀,
Кикортез,FALSE,FALSE,😾,я не кико!!!
илья кикез,FALSE,FALSE,😾,я не кико!!!
Киркез,FALSE,FALSE,😾,я не кирка
кошкез,FALSE,FALSE,😾,я не женщина
Сквер,FALSE,FALSE,😡,
Кардык,FALSE,FALSE,😡,ща я тебе кирдык дам
Котезка,FALSE,FALSE,😾,я не кот
Кортена,FALSE,FALSE,😐,https://tenor.com/view/ena-dream-bbq-ena-joel-g-ena-bbq-obsession-gif-1886841868901077313
Спичечный коробок,FALSE,FALSE,😡,
Котангенс,FALSE,FALSE,😡,
csqrboo,FALSE,TRUE,😀,хэллоунский никнейм
required,FALSE,FALSE,😡,csqrb.sqr
Зашквар,FALSE,FALSE,😡,

